time	valueA	valueB valueC
5,	  87.21,  1000, 147.12	
10,	122.76, 1000,	106.38
15,	170.51, 1001,	77.93	
20,	233.90, 1002,	57.79,
25,	316.90, 1003,	43.36
30,	424.60, 1004,	32.89	
35,	562.80, 1006,	25.22	
40,	738.4,	 1008,	19.52	
45,	959.3,	 1010,	15.26
